sheet,sprite_index,row_index,column_index,name,rarity,x,y,width,height
relics,0,0,0,Carbon Weave,common,28,112,220,220
relics,1,0,1,Flash Cache,common,266,112,220,220
relics,2,0,2,Plated Grip,common,504,112,220,220
relics,3,0,3,Shard Seed,common,742,112,220,220
relics,4,0,4,Surge Fuse,common,980,112,220,220
relics,5,1,0,Signal Router,rare,28,350,220,220
relics,6,1,1,Clean Slate,uncommon,266,350,220,220
relics,7,1,2,Market Key,uncommon,504,350,220,220
relics,8,1,3,Overclock Relay,uncommon,742,350,220,220
relics,9,1,4,Butcher Hooks,common,980,350,220,220
relics,10,2,0,Field Dampener,common,28,588,220,220
relics,11,2,1,Rot Battery,common,266,588,220,220
relics,12,2,2,Execution Array,rare,504,588,220,220
relics,13,2,3,Grave Lantern,rare,742,588,220,220
relics,14,2,4,Grave Pick,uncommon,980,588,220,220
relics,15,3,0,Jam Cycler,uncommon,28,826,220,220
relics,16,3,1,Null Damper,uncommon,266,826,220,220
relics,17,3,2,Pressure Sight,uncommon,504,826,220,220
relics,18,3,3,Septic Reservoir,uncommon,742,826,220,220
